file_name,site_name,sensor_X,sensor_Y,comp_sensors,dateTime_X,dateTime_Y,Slope_II,Error_50,Bias_50,val_filter
S3A_20240612T100545_vs_HYPERNETS_20240612T100000_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-06-12T08:00:00Z,2024-06-12T08:05:45Z,0.8138,31.9608,-28.964,CV >= 30%
S3A_20240612T100545_vs_HYPERNETS_20240612T101500_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-06-12T08:15:00Z,2024-06-12T08:05:45Z,0.8175,28.7133,-25.9931,CV >= 30%
S3A_20240630T103924_vs_HYPERNETS_20240630T103000_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-06-30T08:30:00Z,2024-06-30T08:39:24Z,0.6496,72.3989,-67.4512,CV >= 30%
S3A_20240630T103924_vs_HYPERNETS_20240630T104500_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-06-30T08:45:00Z,2024-06-30T08:39:24Z,0.6147,92.8952,-88.4146,CV >= 30%
S3A_20240712T102808_vs_HYPERNETS_20240712T101500_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-07-12T08:15:00Z,2024-07-12T08:28:08Z,0.9786,12.4619,8.4539,CV >= 30%
S3A_20240712T102808_vs_HYPERNETS_20240712T103000_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-07-12T08:30:00Z,2024-07-12T08:28:08Z,0.9304,8.6153,-3.7172,CV >= 30%
S3A_20240719T104651_vs_HYPERNETS_20240719T104600_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-07-19T08:46:00Z,2024-07-19T08:46:51Z,0.6308,113.8331,-113.8331,CV >= 30%
S3A_20240719T104651_vs_HYPERNETS_20240719T110100_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-07-19T09:01:00Z,2024-07-19T08:46:51Z,0.6688,107.0104,-107.0104,CV >= 30%
S3A_20240724T101654_vs_HYPERNETS_20240724T101500_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-07-24T08:15:00Z,2024-07-24T08:16:54Z,0.9033,14.7141,-14.404,CV >= 30%
S3A_20240724T101654_vs_HYPERNETS_20240724T103000_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-07-24T08:30:00Z,2024-07-24T08:16:54Z,0.8824,20.4633,-19.7507,CV >= 30%
S3A_20240816T102036_vs_HYPERNETS_20240816T101500_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-08-16T08:15:00Z,2024-08-16T08:20:36Z,0.7271,63.1551,-62.5893,CV >= 30%
S3A_20240816T102036_vs_HYPERNETS_20240816T103000_RHOW_R.csv,MAFR,Hyp,S3A,Hyp vs S3A,2024-08-16T08:30:00Z,2024-08-16T08:20:36Z,0.7481,58.333,-56.3513,CV >= 30%
