site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,PACE,350,RHOW,32,28,15,9,2.2145,2.5848,2.0773,4.1816,8.4177,-0.102401,-0.04145,-0.011171,NA,TRUE,TRUE,0.014559,0.011129,73.6149,-0.332615,-0.037802,1.14283,0.182406,0.92461,1.14283,-49.8385,-3.9287,114.283,22.31,114.283,154.7175
MAFR,HYPERNETS,PACE,351,RHOW,32,28,15,10,2.2531,2.9705,2.287,4.3919,8.4342,-0.103756,-0.045963,-0.015868,NA,TRUE,TRUE,0.014351,0.011307,76.2179,-0.762617,-0.131787,0.896538,0.217651,0.936681,1.112805,-634.7278,-15.4863,82.9399,27.9867,127.5212,753.095
MAFR,HYPERNETS,PACE,352,RHOW,32,28,15,9,1.9838,1.5092,2.3444,4.9496,10.45,-0.138171,-0.055763,-0.016731,NA,TRUE,TRUE,0.014776,0.011604,73.5164,-0.293525,-0.091825,1.11856,0.207023,0.943887,1.11856,-41.5479,-10.111,111.856,26.107,111.856,153.3254
MAFR,HYPERNETS,PACE,353,RHOW,32,28,15,9,1.9616,1.2508,2.3466,4.9625,10.4946,-0.139355,-0.056337,-0.017081,NA,TRUE,TRUE,0.01466,0.011547,72.9631,-0.305107,-0.115123,1.073794,0.215309,0.963162,1.073794,-43.907,-13.01,107.3794,27.4387,107.3794,151.7427
MAFR,HYPERNETS,PACE,354,RHOW,32,28,15,9,1.9111,1.4219,2.2968,4.8602,10.2844,-0.136999,-0.055099,-0.016395,NA,TRUE,TRUE,0.01461,0.01153,72.7777,-0.326372,-0.128515,1.074754,0.202179,0.941877,1.074754,-48.4498,-14.7466,107.4754,25.3414,107.4754,151.3918
MAFR,HYPERNETS,PACE,355,RHOW,32,28,15,9,1.9567,1.5754,2.313,4.8835,10.3109,-0.138231,-0.055766,-0.016708,NA,TRUE,TRUE,0.014546,0.011418,71.907,-0.346644,-0.114394,1.068912,0.195521,0.917909,1.068912,-53.0559,-12.9171,106.8912,24.3041,106.8912,150.4813
MAFR,HYPERNETS,PACE,356,RHOW,32,28,15,9,1.895,1.627,2.2198,4.6809,9.8704,-0.133526,-0.05355,-0.015622,NA,TRUE,TRUE,0.014438,0.011391,70.9096,-0.363706,-0.133109,1.067521,0.18894,0.894705,1.067521,-57.16,-15.3548,106.7521,23.2954,106.7521,148.2229
MAFR,HYPERNETS,PACE,357,RHOW,32,28,15,9,1.7794,1.414,2.1553,4.5653,9.6703,-0.131443,-0.051866,-0.014299,NA,TRUE,TRUE,0.014377,0.011155,68.4106,-0.31838,-0.11054,1.097474,0.148263,0.760844,1.097474,-46.7093,-12.4278,109.7474,17.4071,109.7474,148.8622
MAFR,HYPERNETS,PACE,358,RHOW,32,28,15,11,2.3549,3.5164,2.4566,4.4982,8.2364,-0.106868,-0.050904,-0.020341,NA,TRUE,TRUE,0.013835,0.010965,71.5763,-0.725836,-0.097734,0.594529,0.185523,0.832333,1.041679,-295.8291,-10.8321,50.9509,23.4976,133.9303,295.8291
MAFR,HYPERNETS,PACE,359,RHOW,32,28,15,12,2.4011,4.0246,2.4204,4.1934,7.265,-0.090739,-0.045916,-0.020045,NA,TRUE,TRUE,0.013521,0.010739,72.757,-0.863321,-0.173935,0.329158,0.21703,0.89244,1.005779,-716.6824,-21.7202,26.6134,28.2633,134.9391,716.6824
