site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,S3A,400,RHOW,230,119,67,45,0.1018,-0.0486,3.2786,4.4381,6.0077,-0.123601,-0.08478,-0.056101,NA,TRUE,TRUE,0.028232,0.017597,104.6135,-0.567889,-0.365926,0.247549,0.325808,0.506035,0.743104,-131.4222,-57.7102,24.7549,35.6168,90.8855,226.7983
MAFR,HYPERNETS,S3A,412,RHOW,230,119,67,54,0.2503,0.3861,2.9422,3.8706,5.0919,-0.11945,-0.084835,-0.058522,NA,TRUE,TRUE,0.026984,0.017963,68.2907,-0.651992,-0.352551,-0.032788,0.303152,0.466936,0.778968,-187.3572,-54.474,-3.3902,37.4619,82.8616,200.5085
MAFR,HYPERNETS,S3A,442,RHOW,230,119,67,61,0.2008,0.5026,2.1935,2.8363,3.6675,-0.127398,-0.090546,-0.062046,NA,TRUE,TRUE,0.027128,0.019678,44.6246,-0.489161,-0.283316,-0.065714,0.216032,0.366434,0.564272,-95.7565,-39.5315,-7.0337,27.5562,57.8368,110.1478
MAFR,HYPERNETS,S3A,490,RHOW,230,119,67,66,0.186,0.45,1.6699,2.1362,2.7327,-0.126803,-0.087969,-0.057611,NA,TRUE,TRUE,0.028881,0.022084,33.5717,-0.384593,-0.245413,-0.151909,0.179944,0.284006,0.410479,-62.4981,-32.5393,-17.9126,21.5661,38.7774,67.9436
MAFR,HYPERNETS,S3A,510,RHOW,230,119,67,67,0.3923,0.8784,1.4574,1.8523,2.3542,-0.116207,-0.078367,-0.048595,NA,TRUE,TRUE,0.028495,0.021759,28.8425,-0.329421,-0.213023,-0.12265,0.149232,0.252002,0.346732,-49.1591,-27.0685,-13.98,17.1407,31.9869,52.8487
MAFR,HYPERNETS,S3A,560,RHOW,230,119,67,67,0.5879,0.9301,1.0847,1.3534,1.6887,-0.086646,-0.051659,-0.023618,NA,TRUE,TRUE,0.028109,0.021583,20.7259,-0.229121,-0.160017,-0.08529,0.105647,0.168437,0.238863,-29.7232,-19.05,-9.3252,11.4521,20.2554,31.3111
MAFR,HYPERNETS,S3A,620,RHOW,230,119,67,66,0.7677,1.0161,0.9381,1.1249,1.3488,-0.047061,-0.025525,-0.007563,NA,FALSE,TRUE,0.027884,0.020904,23.6745,-0.237704,-0.163321,-0.102543,0.112402,0.185799,0.25627,-31.1831,-19.5201,-11.4269,12.6638,20.8014,32.1046
MAFR,HYPERNETS,S3A,665,RHOW,230,119,67,66,0.8145,1.0678,0.9418,1.1163,1.3231,-0.039531,-0.021608,-0.006486,NA,FALSE,TRUE,0.027065,0.019431,26.5084,-0.25227,-0.160257,-0.088641,0.125995,0.182094,0.301215,-33.7398,-19.0844,-9.7262,14.4159,20.964,40.8664
MAFR,HYPERNETS,S3A,673,RHOW,230,119,67,66,0.8214,1.0828,0.9448,1.1184,1.3239,-0.039189,-0.021632,-0.0068,NA,FALSE,TRUE,0.027079,0.019401,27.2507,-0.260802,-0.164088,-0.090751,0.126624,0.185159,0.306818,-35.2826,-19.6308,-9.9812,14.4992,21.1634,41.7622
MAFR,HYPERNETS,S3A,681,RHOW,230,119,67,66,0.821,1.075,0.9426,1.1152,1.3195,-0.038419,-0.021134,-0.006525,NA,FALSE,TRUE,0.02706,0.019314,27.4234,-0.26385,-0.167632,-0.094759,0.126812,0.184931,0.307175,-35.8452,-20.1391,-10.4679,14.5244,21.5266,42.9749
MAFR,HYPERNETS,S3A,709,RHOW,230,119,67,66,0.8582,1.048,0.99,1.1728,1.3892,-0.031892,-0.017444,-0.005247,NA,FALSE,TRUE,0.025701,0.015788,31.7739,-0.272023,-0.157425,-0.062505,0.104583,0.16533,0.31783,-37.367,-18.6838,-6.6672,11.68,19.6424,45.0986
MAFR,HYPERNETS,S3A,754,RHOW,230,119,67,66,0.8306,0.8744,1.3444,1.6667,2.0661,-0.026959,-0.016113,-0.007364,NA,TRUE,TRUE,0.026107000000000002,0.010856,69.9509,-0.268678,-0.108762,0.045206,0.096175,0.205231,0.348021,-36.7387,-12.2072,4.5177,10.6409,25.0035,50.3513
MAFR,HYPERNETS,S3A,779,RHOW,230,119,67,67,0.8377,0.9279,1.3883,1.7208,2.133,-0.0286,-0.017161,-0.007932,NA,TRUE,TRUE,0.02846,0.011689,75.4177,-0.262485,-0.114435,0.064577,0.101636,0.196796,0.346658,-35.5955,-12.9222,6.4577,10.7107,23.4621,50.3788
MAFR,HYPERNETS,S3A,865,RHOW,230,119,67,67,0.9553,0.9393,2.2247,2.8023,3.5299,-0.033574,-0.022521,-0.013746,NA,TRUE,TRUE,0.027567,0.009504,111.3674,-0.262451,-0.116475,0.083889,0.107294,0.215447,0.389834,-35.6049,-13.183,8.3885,12.0219,27.1598,55.4658
MAFR,HYPERNETS,S3A,885,RHOW,230,119,67,67,1.0414,0.9901,2.7754,3.5085,4.4353,-0.037288,-0.025781,-0.016678,NA,TRUE,TRUE,0.027381,0.009082,122.9759,-0.296796,-0.113547,0.074519,0.108977,0.241966,0.428493,-42.2065,-12.8091,7.4329,12.2321,29.1145,59.7197
MAFR,HYPERNETS,S3A,1020,RHOW,230,119,67,55,2.3214,0.4233,17.356,22.7529,29.8279,-0.065742,-0.04725,-0.033144,NA,TRUE,TRUE,0.029087,0.009741,508.7905,0.55134,1.143974,2.516341,0.55134,1.143974,2.516341,55.109,114.3974,251.5437,61.1132,114.3974,251.5437
MAFR,HYPERNETS,S3B,400,RHOW,190,98,52,33,-0.5022,-0.317,-1.7807,-1.2791,-0.9188,0.037337,0.04514,0.056004,NA,TRUE,TRUE,0.016154,0.013466,162.8249,-0.639525,-0.320785,0.053695,0.299866,0.593258,0.770205,-177.4116,-47.2289,5.3695,42.8299,130.6467,247.0616
MAFR,HYPERNETS,S3B,412,RHOW,190,98,52,38,-0.4652,-0.2581,-1.5106,-1.1162,-0.8247,0.040577,0.047796,0.057567,NA,TRUE,TRUE,0.018066,0.015237,163.1865,-0.562129,-0.359789,0.085006,0.281008,0.528383,0.841774,-128.3876,-56.5692,8.491,39.1391,98.3313,211.6787
MAFR,HYPERNETS,S3B,442,RHOW,190,98,52,48,-0.1029,0.0256,-1.4127,-1.0558,-0.789,0.061317,0.071752,0.085715,NA,TRUE,TRUE,0.020795,0.018206,58.427,-0.456958,-0.29538,0.024733,0.251436,0.43479,0.675632,-84.2298,-41.9334,2.4472,33.6131,73.4436,150.0878
MAFR,HYPERNETS,S3B,490,RHOW,190,98,52,51,-0.0591,-0.0331,-1.4639,-1.1032,-0.8314,0.096536,0.112634,0.133996,NA,TRUE,TRUE,0.023422,0.020025,34.6524,-0.370746,-0.238755,-0.049713,0.200368,0.305104,0.470643,-59.0413,-31.3638,-5.2327,23.4951,40.6447,68.8867
MAFR,HYPERNETS,S3B,510,RHOW,190,98,52,51,0.0732,0.162,0.8106,1.0754,1.4267,-0.041214,-0.01673,0.001727,NA,FALSE,FALSE,0.022945,0.019582,28.3193,-0.307328,-0.216702,-0.030347,0.165055,0.246248,0.400283,-44.3686,-27.6654,-3.1324,18.759,31.3735,54.0563
MAFR,HYPERNETS,S3B,560,RHOW,190,98,52,52,0.5752,1.1345,0.9139,1.1673,1.4909,-0.060997,-0.029284,-0.004455,NA,FALSE,TRUE,0.024138,0.019978,20.6671,-0.245487,-0.151991,0.010895,0.1056,0.165911,0.26074,-32.537,-17.9232,1.0882,11.8068,19.8916,33.6266
MAFR,HYPERNETS,S3B,620,RHOW,190,98,52,51,0.8577,1.1114,0.9032,1.072,1.2724,-0.037732,-0.018726,-0.002713,NA,FALSE,TRUE,0.022729,0.018505,20.1664,-0.255662,-0.15166,0.012113,0.10019,0.170896,0.27792,-34.3627,-17.8772,1.1565,10.5807,20.6121,35.4887
MAFR,HYPERNETS,S3B,665,RHOW,190,98,52,51,0.9298,1.2006,0.9389,1.09,1.2655,-0.034161,-0.018692,-0.005367,NA,FALSE,TRUE,0.021645,0.017353,21.4382,-0.257919,-0.159677,0.011,0.113694,0.172177,0.302313,-34.8938,-19.0018,1.0768,12.3896,19.9669,39.3502
MAFR,HYPERNETS,S3B,673,RHOW,190,98,52,51,0.9377,1.2197,0.9434,1.0925,1.2653,-0.033923,-0.018842,-0.00582,NA,FALSE,TRUE,0.021572,0.017326,21.8197,-0.266767,-0.161875,0.013421,0.118254,0.17368,0.298106,-36.4308,-19.314,1.3266,12.5904,19.8185,38.5433
MAFR,HYPERNETS,S3B,681,RHOW,190,98,52,51,0.9429,1.2165,0.9455,1.0924,1.2622,-0.033417,-0.018663,-0.005894,NA,FALSE,TRUE,0.021411,0.017171,21.7594,-0.260561,-0.158719,0.008838,0.120531,0.175935,0.29828,-35.2905,-18.8663,0.8509,12.9221,19.7783,37.6898
MAFR,HYPERNETS,S3B,709,RHOW,190,98,52,51,1.019,1.3109,1.0052,1.1458,1.3061,-0.028323,-0.016709,-0.006519,NA,TRUE,TRUE,0.018852,0.014546,22.5334,-0.250464,-0.128168,0.059892,0.112511,0.161597,0.303534,-33.4233,-14.7009,5.9883,11.9505,19.2744,38.8628
MAFR,HYPERNETS,S3B,754,RHOW,190,98,52,51,1.1656,1.0527,1.1673,1.3475,1.5556,-0.018228,-0.011218,-0.005146,NA,TRUE,TRUE,0.015404,0.010099,31.4473,-0.264439,-0.107189,0.185847,0.143483,0.251968,0.431168,-35.9581,-12.0057,18.5845,16.7398,27.3461,51.6212
MAFR,HYPERNETS,S3B,779,RHOW,190,98,52,52,1.1622,1.0978,1.1708,1.3536,1.565,-0.018774,-0.011492,-0.005194,NA,TRUE,TRUE,0.016593,0.010512,33.0256,-0.270032,-0.067725,0.189808,0.137845,0.234582,0.491966,-36.9981,-7.2654,18.9807,14.2235,28.2776,59.3059
MAFR,HYPERNETS,S3B,865,RHOW,190,98,52,52,1.5219,1.1182,1.5908,1.8771,2.215,-0.019245,-0.012833,-0.007399,NA,TRUE,TRUE,0.016205,0.00908,41.1481,-0.307335,-0.069379,0.401748,0.140284,0.323909,0.524855,-44.37,-7.4558,40.1473,14.9342,44.401,63.6532
MAFR,HYPERNETS,S3B,885,RHOW,190,98,52,52,1.7576,1.197,1.8985,2.2702,2.7148,-0.021045,-0.014343,-0.008738,NA,TRUE,TRUE,0.016505,0.008984,48.8713,-0.313911,-0.078096,0.440369,0.14125,0.35419,0.608575,-45.772,-8.4712,44.0349,15.2358,44.8848,86.209
MAFR,HYPERNETS,S3B,1020,RHOW,190,98,52,36,-0.3082,0.3822,-15.1561,-10.7694,-7.6524,0.025875,0.032889,0.04276,NA,TRUE,TRUE,0.014907,0.006424,488.3183,0.67564,1.953066,4.70237,0.67564,1.953066,4.70237,67.5011,195.1803,470.1116,67.5011,195.1803,470.1116
THFR,HYPERNETS,S3A,400,RHOW,251,21,6,4,92.3525,6.3605,29.9128,113.2497,428.763,-1.742329,-0.405636,-0.052574,NA,TRUE,TRUE,0.0868,0.069917000000000007,1571.027,8.185257,16.911599,24.436612,8.185257,16.911599,24.436612,657.8346,1573.6079,2436.3787,657.8346,1573.6079,2436.3787
THFR,HYPERNETS,S3A,412,RHOW,251,21,6,4,97.8967,6.4424,31.2187,123.1279,485.6212,-2.068087,-0.46633,-0.060209,NA,TRUE,TRUE,0.089713,0.07332,1591.7971,8.568241,17.235502,24.585232,8.568241,17.235502,24.585232,713.4431,1609.5571,2452.9054,713.4431,1609.5571,2452.9054
THFR,HYPERNETS,S3A,442,RHOW,251,21,6,4,102.133,7.5108,32.0001,147.0644,675.8704,-3.507192,-0.698874,-0.087805,NA,TRUE,TRUE,0.094163,0.076827,1407.1228,7.577448,15.686896,22.180676,7.577448,15.686896,22.180676,577.1947,1464.9284,2215.0056,577.1947,1464.9284,2215.0056
THFR,HYPERNETS,S3A,490,RHOW,251,21,6,4,64.4799,6.994,20.2986,95.1892,446.3839,-3.278835,-0.630471,-0.065721,NA,TRUE,TRUE,0.097449,0.079811000000000007,1028.2186,5.714272,11.967368,16.535282,5.714272,11.967368,16.535282,431.5394,1118.1785,1653.3998,431.5394,1118.1785,1653.3998
THFR,HYPERNETS,S3A,510,RHOW,251,21,6,4,41.5131,5.7271,12.9625,57.3674,253.8866,-2.069134,-0.397745,-0.020084,NA,TRUE,TRUE,0.099271,0.081657,920.9405,5.45092,10.698644,14.457128,5.45092,10.698644,14.457128,409.787,1016.0617,1445.1119,409.787,1016.0617,1445.1119
THFR,HYPERNETS,S3A,560,RHOW,251,21,6,5,9.0587,0.3617,7.8523,29.5528,111.2244,-1.192081,-0.260246,-0.012654,NA,TRUE,TRUE,0.091741,0.069861,592.044,0.185819,5.883095,10.279727,0.795961,5.883095,10.279727,18.5819,588.3095,1027.9727,390.1027,588.3095,1027.9727
THFR,HYPERNETS,S3A,620,RHOW,251,21,6,4,40.373,4.3098,12.6126,54.8406,238.4519,-0.858422,-0.127202,0.040968,NA,TRUE,FALSE,0.105906,0.087215,2039.1028,12.640514,21.27322,29.023734,12.640514,21.27322,29.023734,797.2758,2082.0339,2854.9742,797.2758,2082.0339,2854.9742
THFR,HYPERNETS,S3A,665,RHOW,251,21,6,4,56.2611,5.0897,17.5717,76.7716,335.4194,-0.840682,-0.121684,0.042882,NA,TRUE,FALSE,0.108205,0.089239,2986.5759,18.564723,30.923638,42.076792,18.712605,30.923638,42.076792,950.2545,3034.0842,4129.1726,1151.513,3034.0842,4129.1726
THFR,HYPERNETS,S3A,673,RHOW,251,21,6,4,47.539,4.6512,14.8535,64.431,279.4856,-0.75601,-0.103571,0.046839,NA,TRUE,FALSE,0.107982,0.089198,2732.4265,17.802678,28.23354,37.598166,17.959639,28.23354,37.598166,912.692,2790.1734,3676.7909,1122.6172,2790.1734,3676.7909
THFR,HYPERNETS,S3A,681,RHOW,251,21,6,4,39.8205,4.0406,12.4358,55.4033,246.8302,-0.695824,-0.084737,0.052428,NA,TRUE,FALSE,0.108237,0.089327,2627.3047,17.432112,26.619462,35.280991,17.611518,26.619462,35.280991,881.2658,2642.6745,3425.7331,1125.4454,2642.6745,3425.7331
THFR,HYPERNETS,S3A,709,RHOW,251,21,6,4,75.6964,3.8357,23.8874,112.8821,533.4358,-0.730533,-0.080538,0.05701,NA,TRUE,FALSE,0.111965,0.092384,5718.0592,37.385474,56.330353,76.125470000000007,37.385474,56.330353,76.125470000000007,1837.0096,5595.9863,7327.5157,1837.0096,5595.9863,7327.5157
THFR,HYPERNETS,S3A,754,RHOW,251,21,6,6,-10.7022,-0.4276,-1026.9375,-331.5047,-107.0127,0.130434,0.265271,0.682972,NA,TRUE,TRUE,0.095997,0.065557,11974.0161,4.357038,80.505149,197.865957,4.357038,80.505149,197.865957,429.7789,3162.2194,19616.9107,429.7789,3162.2194,19616.9107
